PlantSoon URL,Common Name,Scientific Name,
https://experience.plantsoon.com/explore/fjd8ccqoz0,Sassafras,Sassafras albidum,
https://experience.plantsoon.com/explore/41ulc2husc,Japanese Pagoda Tree,Styphnolobium japonicum,
https://experience.plantsoon.com/explore/xuyv5os5ju,Borage,Symphytum officinale,
https://experience.plantsoon.com/explore/gzuf0o7zip,Bald Cypress,Taxodium distichum,
https://experience.plantsoon.com/explore/oqd3es5rxu,American Linden,Tilia americana,
https://experience.plantsoon.com/explore/d65wscudpu,Little-leaf Linden,Tilia cordata,
https://experience.plantsoon.com/explore/c1wb732xiy,Eastern Hemlock,Tsuga canadensis,
https://experience.plantsoon.com/explore/nllniacjgn,Laceback Elm,Ulmus parvifolia,
https://experience.plantsoon.com/explore/qrlg8vjiqb,Slippery Elm,Ulmus rubra,
https://experience.plantsoon.com/explore/mivq6jnoj7,Lowbush Blueberry,Vaccinium angustifolium,
https://experience.plantsoon.com/explore/as66zcqp8x,"Blueberry - ""Patriot""",Vaccinium corymbosum 'Patriot',
https://experience.plantsoon.com/explore/n8p2r8g2sj,"Blueberry - ""Peach Sorbet""",Vaccinium corymbosum PEACH SORBET® (='ZF06-043'),
https://experience.plantsoon.com/explore/duo5znk273,"Blueberry - ""Pink Icing""",Vaccinium corymbosum PINK ICING (='ZF06-079'),
https://experience.plantsoon.com/explore/50kely6kd1,Maple-leaf Viburnum,Viburnum acerifolium,
https://experience.plantsoon.com/explore/u3xxx35vz2,Arrowwood Viburnum,Viburnum dentatum,
https://experience.plantsoon.com/explore/s6cz3yhl12,Cranberry Bush,Viburnum opulus subsp. trilobum,
https://experience.plantsoon.com/explore/cxbmrejj3j,Black Haw,Viburnum prunifolium,
https://experience.plantsoon.com/explore/c6uzxfifkb,Zelkova,Zelkova serrata,
https://experience.plantsoon.com/explore/lnujfslxpb,Jujube - 'Lang',Ziziphus jujuba 'Lang',
